0383
ANG_COM002
yyyy/MM/dd hh:mm:ss,Final Depth (mm),Final Flow (l/s),Final Velocity (m/s)
2021/12/04 22:00:00,85.44,77.53,2.53
2021/12/04 22:05:00,85.25,77.03,2.52
2021/12/04 22:10:00,85.32,78.51,2.56
2021/12/04 22:15:00,85.03,79.29,2.6
2021/12/04 22:20:00,84.99,78.57,2.58
2021/12/04 22:25:00,84.58,77.45,2.56
2021/12/04 22:30:00,84.75,77.6,2.56
2021/12/04 22:35:00,84.53,78.73,2.61
2021/12/04 22:40:00,85.93,80.56,2.6
2021/12/04 22:45:00,86.04,80.46,2.6
2021/12/04 22:47:28,,,2.57
2021/12/04 22:50:00,86,80.06,2.58
2021/12/04 22:55:00,85.83,81.95,2.65
2021/12/04 23:00:00,86.02,80.28,2.59
2021/12/04 23:05:00,85.96,79.86,2.58
2021/12/04 23:10:00,85.61,80.89,2.63
2021/12/04 23:15:00,85.22,79.36,2.6
2021/12/04 23:20:00,85.43,79.28,2.58
2021/12/04 23:25:00,85.36,78.21,2.55
2021/12/04 23:30:00,85.29,78.99,2.58
2021/12/04 23:35:00,84.64,76.93,2.54
2021/12/04 23:40:00,84.35,76.79,2.55
2021/12/04 23:45:00,83.69,75.26,2.53
2021/12/04 23:50:00,84.08,75.92,2.53
2021/12/04 23:55:00,83.85,75.48,2.53
2021/12/05 00:00:00,83.85,76.4,2.56
2021/12/05 00:05:00,83.81,75.56,2.53
2021/12/05 00:10:00,84.01,75.57,2.53
2021/12/05 00:15:00,84.05,76.95,2.57
2021/12/05 00:20:00,83.61,76,2.56
2021/12/05 00:25:00,83.72,74.65,2.51
2021/12/05 00:30:00,81.9,71.98,2.5
2021/12/05 00:35:00,82.25,72.67,2.51
2021/12/05 00:40:00,82.53,74.11,2.54
2021/12/05 00:42:25,,,2.44
2021/12/05 00:45:00,83.08,73.37,2.49
2021/12/05 00:50:00,82.93,73.37,2.5
2021/12/05 00:55:00,83.89,75.75,2.54
2021/12/05 01:00:00,83.8,74.74,2.51
2021/12/05 01:05:00,82.69,73.09,2.5
2021/12/05 01:10:00,83.32,74.65,2.52
2021/12/05 01:15:00,82.72,72.88,2.49
2021/12/05 01:20:00,82.75,73.84,2.52
2021/12/05 01:25:00,80.37,70.15,2.5
2021/12/05 01:30:00,80.04,69.32,2.49
2021/12/05 01:35:00,80.62,71.38,2.53
2021/12/05 01:40:00,81.31,72.06,2.53
2021/12/05 01:45:00,81.69,72.39,2.52
2021/12/05 01:50:00,82.35,72.73,2.5
2021/12/05 01:55:00,82.73,72.67,2.48
2021/12/05 02:00:00,82.61,73.15,2.51
2021/12/05 02:05:00,82.02,73.07,2.53
2021/12/05 02:10:00,81.65,73.21,2.55
2021/12/05 02:15:00,80.86,70.7,2.5
2021/12/05 02:20:00,80.73,68.74,2.44
2021/12/05 02:25:00,79.95,67.92,2.44
2021/12/05 02:30:00,79.58,68.33,2.47
2021/12/05 02:35:00,79.48,69.09,2.5
2021/12/05 02:40:00,79.47,69.14,2.51
2021/12/05 02:45:00,79.47,68.77,2.49
2021/12/05 02:50:00,79.36,68.03,2.47
2021/12/05 02:55:00,78.32,66.15,2.45
2021/12/05 03:00:00,78.35,64.85,2.4
2021/12/05 03:05:00,78.16,65.63,2.44
2021/12/05 03:10:00,77.99,65.93,2.46
2021/12/05 03:15:00,78.04,64.44,2.4
2021/12/05 03:20:00,78.16,65.69,2.44
2021/12/05 03:25:00,78.53,67.58,2.49
2021/12/05 03:30:00,78.64,68.19,2.51
2021/12/05 03:35:00,78.74,67.44,2.48
2021/12/05 03:40:00,78.39,65.66,2.43
2021/12/05 03:45:00,78.36,65.01,2.41
2021/12/05 03:50:00,78.4,66.57,2.46
2021/12/05 03:55:00,78.42,67.38,2.49
2021/12/05 04:00:00,78.47,66.09,2.44
2021/12/05 04:05:00,78.94,66.07,2.42
2021/12/05 04:10:00,79,66.84,2.44
2021/12/05 04:15:00,78.63,66.23,2.44
2021/12/05 04:20:00,78.3,65.15,2.41
2021/12/05 04:25:00,78,65.48,2.44
2021/12/05 04:30:00,77.7,65.8,2.47
2021/12/05 04:35:00,77.62,65.68,2.47
2021/12/05 04:40:00,77.88,66.59,2.49
2021/12/05 04:45:00,77.59,65.21,2.45
2021/12/05 04:50:00,78.36,64.91,2.4
2021/12/05 04:55:00,78.09,65.26,2.43
2021/12/05 05:00:00,78.21,64.67,2.4
2021/12/05 05:05:00,77.94,64.02,2.39
2021/12/05 05:10:00,77.99,65.32,2.44
2021/12/05 05:15:00,77.83,64.86,2.43
2021/12/05 05:20:00,77.58,64.64,2.43
2021/12/05 05:25:00,78.6,65.87,2.43
2021/12/05 05:30:00,78.06,65.19,2.43
2021/12/05 05:35:00,78.55,64.85,2.39
2021/12/05 05:40:00,78.83,65.79,2.41
2021/12/05 05:45:00,78.78,65.29,2.4
2021/12/05 05:50:00,78.38,64.48,2.39
2021/12/05 05:55:00,78.09,63.22,2.35
2021/12/05 06:00:00,78.6,64.76,2.39
2021/12/05 06:05:00,78.83,66.02,2.42
2021/12/05 06:10:00,78.11,64.27,2.39
2021/12/05 06:15:00,78.8,65.13,2.39
